time,box,prob_sum,in_playlist_any
E,13,0.01365678346810422,TRUE
E,35,0.01895777178796046,FALSE
E,26,0.01455525606469002,FALSE
E,44,0.01401617250673854,FALSE
E,18,0.01230907457322551,FALSE
E,36,0.01123090745732255,FALSE
E,27,0.01033243486073674,FALSE
E,09,0.00988319856244384,FALSE
E,17,0.00979335130278526,FALSE
E,08,0.00844564240790655,FALSE
M,13,0.02120395327942497,TRUE
M,19,0.01680143755615453,FALSE
M,28,0.01455525606469002,FALSE
M,35,0.01392632524707996,FALSE
M,08,0.01347708894878705,FALSE
M,26,0.01203953279424977,FALSE
M,37,0.01123090745732255,FALSE
M,46,0.01015274034141958,FALSE
M,44,0.00898472596585804,FALSE
M,17,0.00727762803234501,FALSE
