time,d1,d2,prob
M,3,1,0.02120395327942497
M,7,4,0.01761006289308176
M,1,9,0.01680143755615453
M,8,3,0.01617250673854447
M,7,1,0.01563342318059299
M,4,9,0.0150943396226415
M,8,2,0.01491464510332434
M,0,1,0.01482479784366576
M,2,8,0.01455525606469002
M,8,0,0.01455525606469002
M,3,5,0.01392632524707996
M,6,0,0.01392632524707996
M,2,0,0.0137466307277628
M,3,6,0.0137466307277628
M,7,6,0.0137466307277628
M,0,8,0.01347708894878705
M,1,3,0.01347708894878705
M,6,4,0.01347708894878705
M,6,5,0.01338724168912847
M,2,1,0.01311769991015273
M,6,6,0.01311769991015273
M,8,5,0.01293800539083557
M,9,8,0.01221922731356693
M,2,6,0.01203953279424977
M,5,8,0.01203953279424977
