d1,d2,p,time
3,1,0.017428700769578996,M
3,3,0.017428700769578996,M
3,6,0.017428700769578996,M
3,7,0.017428700769578996,M
3,8,0.017428700769578996,M
0,1,0.014938886373924851,M
0,3,0.014938886373924851,M
0,6,0.014938886373924851,M
0,7,0.014938886373924851,M
0,8,0.014938886373924851,M
4,1,0.014938886373924851,M
4,3,0.014938886373924851,M
4,6,0.014938886373924851,M
4,7,0.014938886373924851,M
4,8,0.014938886373924851,M
7,1,0.014938886373924851,M
7,3,0.014938886373924851,M
7,6,0.014938886373924851,M
7,7,0.014938886373924851,M
7,8,0.014938886373924851,M
3,2,0.014259846084200995,M
3,5,0.014259846084200995,M
1,1,0.012449071978270712,M
1,3,0.012449071978270712,M
1,6,0.012449071978270712,M
4,4,0.02206880941602535,E
4,1,0.01912630149388864,E
0,4,0.018673607967406067,E
6,4,0.018673607967406067,E
4,6,0.01765504753282028,E
4,7,0.01765504753282028,E
9,4,0.016976007243096426,E
0,1,0.016183793571751925,E
6,1,0.016183793571751925,E
1,4,0.015278406518786782,E
2,4,0.015278406518786782,E
7,4,0.015278406518786782,E
0,6,0.014938886373924851,E
0,7,0.014938886373924851,E
6,6,0.014938886373924851,E
6,7,0.014938886373924851,E
9,1,0.014712539610683568,E
3,4,0.01358080579447714,E
5,4,0.01358080579447714,E
9,6,0.013580805794477138,E
9,7,0.013580805794477138,E
1,1,0.01324128564961521,E
2,1,0.01324128564961521,E
4,0,0.01324128564961521,E
4,5,0.01324128564961521,E
